title,grant_id,source_url,source_domain,discovery_tier,agency,funding_amount_min,funding_amount_max,match_required,open_date,close_date,status,level,domain_tags,eligible_entities,summary,confidence_score,scraped_date,notes
Ohio Maritime Assistance Program (MAP),,https://www.transportation.ohio.gov/programs/maritime-freight/resources/maritime-assistance-program-guidance,transportation.ohio.gov,seed_verified,Ohio Department of Transportation,150000,4200000,Yes — 50%,2025-09-01,TBD,closed,state,maritime|dredging|infrastructure|economic_development,Public port authorities owning an active marine cargo terminal on Lake Erie or the Ohio River (per ORC 5501.91),"Competitive ODOT grant exclusively for Ohio public port authorities to enhance waterborne freight, expand cargo-handling capacity, and rehabilitate maritime infrastructure. The Port of Cleveland was awarded $4.2M in Jan 2026 ($2.7M for Dock 22 rehab; $1.5M for the CHEERS Early Action Breakwater Project).",0.97,2026-06-01,Requires 50% local match. FY22-23 funded at $23M; reduced ~60% for FY24-25 biennium. Program-to-date (FY20-25) ~$56M leveraging $145M across 21 projects among 4 public port authorities. Single best-fit program for the Port.
Ohio Brownfield Remediation Program (BRP),,https://development.ohio.gov/community/redevelopment/brownfield-remediation-program,development.ohio.gov,seed_verified,Ohio Department of Development,1,1000000,Generally none for county set-aside funds,2026-05-18,2026-06-05,upcoming,state,brownfield|environmental|economic_development|real_estate,Per ORC §122.6511(A)(2): county; township; municipal corporation; port authority; conservancy district; park district; county land reutilization corporation; for-profit organizations,Grants to assess and clean up industrial/commercial brownfield sites for redevelopment. HB96/ODOD FY26 guidelines: $200M total ($100M per fiscal year). FY26 has $88M available with $1M reserved for applicants in each of Ohio's 88 counties; FY27 ~$109M available statewide on merit.,0.95,2026-06-01,"May 18–June 5, 2026 round draws on set-asides remaining in 46 counties. Port authorities are explicitly eligible lead entities; recent example: Guernsey County Port Authority awarded $1M. Cuyahoga County historically wins 25-50% of statewide funds."
Ohio Building Demolition & Site Revitalization Program,,https://development.ohio.gov,development.ohio.gov,seed_verified,Ohio Department of Development,1,500000,Yes — 25% for non-set-aside (statewide) funds; none for county set-aside,2025-10-29,2025-11-19,closed,state,brownfield|economic_development|real_estate|infrastructure,Counties via designated lead entity (county land bank by default); subrecipients including port authorities,"Funds demolition of vacant/blighted commercial and residential structures (non-brownfield sites) and revitalization of surrounding properties. ~$230,000 reserved per county; $20-21.5M per fiscal year (HB96 appropriated $20M/year).",0.80,2026-06-01,Cuyahoga County land bank is the default lead entity; the Port would participate as a subrecipient. 25% match applies only to statewide first-come-first-served funds.
ODOT Transportation Review Advisory Council (TRAC) — Major New Capacity Program,,https://www.transportation.ohio.gov/programs/trac/home/application-guidelines,transportation.ohio.gov,seed_verified,Ohio Department of Transportation,12000000,50000000,"No fixed %, but local funding commitment is scored",2026-05-01,2026-05-31,rolling,state,transportation|intermodal|rail|infrastructure|economic_development,Public agencies: municipalities; county commissioners; county engineers; transit and port authorities; transportation improvement districts,Funds Ohio's Major New Capacity Program for projects over $12M that add capacity or reduce congestion; eligible project types explicitly include intermodal port and rail projects. Recent cycles: FY2026 ~$123.1M (11 projects); 2025 ~$319.3M (14 projects).,0.85,2026-06-01,"Port authorities EXPLICITLY eligible; freight scoring uses port metrics (TEUs, bulk tons). Annual May 1–31 application window. Strong fit for large intermodal capital projects."
ODNR Coastal Management Assistance Grant (CMAG),,https://ohiodnr.gov/buy-and-apply/apply-for-grants/grants/cmag,ohiodnr.gov,seed_verified,"Ohio Department of Natural Resources, Office of Coastal Management",25000,150000,Yes — minimum 1:1 (50%) non-federal match,2026-07-01,TBD,upcoming,state,shoreline|lakefront|environmental|water_quality|planning|recreation,Units of local government; counties; regional planning agencies; park districts; conservancy districts; educational institutions; nonprofits,"Competitive annual reimbursement grant for Lake Erie coastal projects: water quality, coastal planning, public access, habitat restoration, and redevelopment of deteriorating waterfronts and ports. ~$200K-$500K total available per cycle; typical requests $25K-$150K.",0.90,2026-06-01,NOAA-funded but state-administered; program text explicitly references redevelopment of deteriorating waterfronts and ports. Preference for beneficial use of dredged material — directly aligned with CHEERS.
Clean Ohio Green Space Conservation Program,,https://publicworks.ohio.gov/programs/clean-ohio/02-clean-ohio,publicworks.ohio.gov,seed_verified,Ohio Public Works Commission (District 1 / Cuyahoga NRAC),1,3200000,Up to 75% funded (25% match; land/labor/materials count as match),2025-07-01,2025-09-30,closed,state,environmental|shoreline|recreation|community_development,Local governments; park districts; watershed nonprofits; political subdivisions,Grants for green space acquisition and protection/enhancement of river and stream corridors. Cuyahoga County (District 1) has ~$3.2M allocated for FY2027 (Round 21).,0.78,2026-06-01,"Apply through Cuyahoga County NRAC. Match can be funding, land, labor, or materials. Annual cycle (next ~fall 2026)."
OPWC State Capital Improvement Program (SCIP / Issue 1-Issue 2),,https://publicworks.ohio.gov/programs,publicworks.ohio.gov,seed_verified,Ohio Public Works Commission (District 1),1,5000000,Varies; leverages local funds ($1 program : $2-3 local typical),2026-09-01,2026-10-09,upcoming,state,infrastructure|transportation|water_quality,Counties; cities; villages; townships; political subdivisions,"Bond-funded grants and loans for local infrastructure — roads, bridges, water/wastewater, storm water. Voter-renewed program; up to $250M per year statewide distributed to local districts by population.",0.80,2026-06-01,"Apply via District 1 (Cuyahoga). Port roads, utilities, and storm water eligible as public infrastructure. District 1 deadline historically early October."
Local Transportation Improvement Program (LTIP),,https://publicworks.ohio.gov/programs,publicworks.ohio.gov,seed_verified,Ohio Public Works Commission,1,1000000,No state match required,2026-09-01,2026-10-09,upcoming,state,transportation|infrastructure,Counties; cities; villages; townships; political subdivisions,"Gas-tax-funded program (~$70M/year statewide) for local road and bridge improvements; companion to SCIP, distributed by OPWC district.",0.75,2026-06-01,Funds roads/bridges only. Apply via District 1.
NOACA Transportation for Livable Communities Initiative (TLCI) — Planning,,https://www.noaca.org/community-assistance-center/funding-programs/transportation-for-livable-communities-initiative-tlci,noaca.org,seed_verified,Northeast Ohio Areawide Coordinating Agency (MPO),1,200000,Yes — 20% non-federal,2025-10-01,TBD,upcoming,regional,planning|transportation|community_development|lakefront,Political subdivisions; state agencies; boards; commissions; regional transit authorities; county transit boards; port authorities,Funds planning studies for integrated transportation/land-use and community livability. Port authorities explicitly listed as eligible.,0.88,2026-06-01,Applications normally open in October. TLCI Planning Assistance (NOACA staff time in lieu of a grant) is also available. Strong fit for lakefront/connectivity studies.
NOACA TLCI — Implementation,,https://www.noaca.org/community-assistance-center/funding-programs/transportation-for-livable-communities-initiative-tlci,noaca.org,seed_verified,Northeast Ohio Areawide Coordinating Agency,100000,1000000,Yes — 20% from non-federal sources (awards funded at max 80%),2025-10-01,TBD,upcoming,regional,transportation|infrastructure|community_development,Political subdivisions; port authorities; RTAs; municipalities,"Implementation awards to build infrastructure from completed TLCI livability studies; minimum requests $100,000.",0.82,2026-06-01,Requires a prior TLCI plan. 20% local match.
