name,description,projectType,status,priority,budget,location,startDate,endDate,focusAreas,notes,fundingSource,costShareSource,readiness.shovelReady,readiness.nepaStatus,readiness.nepaDocument,readiness.nepaCompletionDate,readiness.designCompletion,readiness.designPhase,readiness.permits,readiness.rightOfWay,readiness.procurementApproach,readiness.constructionStartTarget,pastPerformance.priorFederalAwards,pastPerformance.auditFindings,pastPerformance.onTimeCompletion,metrics.jobsCreated,metrics.jobsRetained,metrics.tonnageImpact,metrics.emissionsReduction,metrics.safetyImpact,metrics.economicImpact,metrics.communitiesBenefited
Freeport Harbor Channel Improvement Project (FHCIP),Deepening the Freeport Harbor Channel from 46 ft to 56 ft MLLW in partnership with USACE. Enables accommodation of larger Post-Panamax vessels and increases port competitiveness.,infrastructure,construction,critical,295000000,Freeport Harbor Channel,2023-06-01,2027-12-31,Channel deepening; Navigation improvement; Port infrastructure; Economic competitiveness; Freight movement,USACE partnership. Federal cost-share secured. NEPA Record of Decision obtained.,USACE federal appropriation + Port Freeport local match,Port Freeport Series 2024 Revenue Bonds + operating reserves,true,record_of_decision,Environmental Impact Statement (EIS),2022-09-15,100,complete,USACE Section 10/404 Permit [obtained]; TCEQ Water Quality Certification [obtained]; USCG Bridge Permit [obtained],acquired,"Design-bid-build, USACE-managed construction contract",2023-06-01,"USACE Civil Works $117,000,000 (2022)",none,95,850,2400,15000000,"Enables larger vessels with lower per-TEU fuel consumption, estimated 18% reduction in vessel emissions per ton of cargo","Eliminates need for tide-restricted transit of large vessels, reducing collision risk",$3.2B estimated regional economic impact over 20 years,"Brazoria County (pop. 388,000), including Freeport, Clute, Lake Jackson, and Angleton"
Velasco Terminal Phase 2 Expansion,"Expansion of the Velasco Container Terminal including additional berths, container yard, and intermodal rail connections to increase container throughput capacity.",expansion,design,high,180000000,Velasco Terminal,2025-01-01,2028-06-30,Container terminal; Intermodal connectivity; Rail infrastructure; Port expansion; Supply chain,Preliminary engineering 60% complete.,Federal grant + Port Freeport revenue bonds,Port Freeport Series 2024 Revenue Bonds ($36M authorized),false,ea_in_progress,Environmental Assessment (EA),2025-09-30,60,preliminary,USACE Section 10/404 Permit [pending]; TCEQ Stormwater Permit [pending]; Brazoria County Site Development Permit [obtained],acquired,"Design-build with GMP, competitive RFP planned Q1 2026",2026-03-01,"PIDP FY2023 $15,960,000 (2023); TxDOT Rider 37 $8,200,000 (2022)",none,95,1200,3500,8000000,,,$1.8B estimated regional economic impact over 20 years,"Brazoria County, greater Houston metro area freight corridor"
Zero-Emission Equipment Deployment,"Procurement and deployment of zero-emission cargo handling equipment including electric RTG cranes, yard tractors, and shore power systems to improve operational efficiency and energy resilience.",equipment,procurement,high,45000000,Port-wide,2025-03-01,2026-12-31,Energy resilience; Electrification; Shore power; Air quality; Operational efficiency; Equipment modernization,RFP for electric RTGs released. EPA Clean Ports application under development.,,,true,categorical_exclusion,Categorical Exclusion (CE) — equipment replacement on existing facilities,,90,final,Electrical infrastructure permit [obtained]; Air quality permit modification [pending],not_needed,"Competitive RFP for equipment + installation, sole source for OEM shore power",2025-06-01,,,,25,180,,"Estimated 4,200 tons CO2e/year reduction; eliminates 98% of NOx from replaced diesel equipment",Reduces diesel particulate exposure for 180+ terminal workers,,"Freeport, Clute, and surrounding environmental justice communities within 1-mile radius of port operations"
Port Security Enhancement Program,"Upgrades to TWIC-compliant access control, CCTV surveillance network, perimeter intrusion detection, and cybersecurity infrastructure.",security,planning,medium,12000000,Port-wide,,,Port security; Cybersecurity; Access control; Surveillance; MTSA compliance,,,,,,,,,,,,,,,,,,,,,,,
Stormwater and Climate Resilience Infrastructure,"Green infrastructure improvements including bioswales, retention ponds, elevated electrical systems, and hurricane-hardened facilities.",resilience,planning,medium,28000000,Port-wide,,,Climate resilience; Stormwater management; Hurricane resilience; Green infrastructure; Flood mitigation,,,,,,,,,,,,,,,,,,,,,,,
Velasco Terminal Access & North Gate Entrance,Construction of new terminal access road and north gate entrance facility to improve traffic flow and reduce congestion at the Velasco Terminal.,infrastructure,construction,high,11900000,Velasco Terminal,2024-06-01,,Terminal access; Traffic management; Gate infrastructure; Port operations,,,,,,,,,,,,,,,,,,,,,,,
Super Post-Panamax STS Gantry Cranes (2 units),Procurement of two super post-Panamax ship-to-shore gantry cranes for the Velasco Container Terminal to handle larger vessels and increase throughput.,equipment,procurement,critical,50000000,Velasco Terminal,,,Container handling; Crane infrastructure; Port modernization; Vessel accommodation; Cargo throughput,"Ordered, delivery expected FY2025. Funded via Series 2024 revenue bonds.",,,,,,,,,,,,,,,,,,,,,,
15-Acre Concrete Storage Area,"Construction of a 15-acre concrete storage area for container and cargo staging, part of the $25.6M combined concrete/street improvement program.",infrastructure,planning,medium,12800000,Velasco Terminal Area,2025-01-01,,Container storage; Yard expansion; Cargo staging; Port capacity,Partially grant-funded.,,,,,,,,,,,,,,,,,,,,,,
Terminal Access Street Reconstruction,Reconstruction of terminal access streets to support increased heavy truck traffic from expanded container and RoRo operations.,infrastructure,planning,medium,12800000,Port-wide,2025-01-01,,Road reconstruction; Heavy vehicle access; Port infrastructure; Freight movement,Part of $25.6M combined program. Partially grant-funded.,,,,,,,,,,,,,,,,,,,,,,
Cathodic Protection Systems,Installation and upgrade of cathodic protection systems across port dock infrastructure to prevent corrosion and extend asset lifespan.,maintenance,construction,medium,4660000,Port-wide,,,Corrosion prevention; Dock maintenance; Asset preservation; Marine infrastructure,$241K expended to date. Funded via Series 2024 revenue bonds.,,,,,,,,,,,,,,,,,,,,,,
