title,grant_id,source_url,source_domain,discovery_tier,agency,funding_amount_min,funding_amount_max,match_requirement,open_date,close_date,status,level,domain_tags,eligible_entities,summary,confidence_score,scraped_date,notes
Maritime Infrastructure Program (MIP),,https://www.txdot.gov/business/grants-and-funding/maritime-infrastructure-program.html,www.txdot.gov,seed_verified,TxDOT Maritime Division,1500000,50000000,Yes — 25%,,,open,state,"port_infrastructure, capital_improvements",Texas public maritime ports (18 PAAC members incl. Port Freeport),,0.9,4/26/26,"Deadline/Cycle: Biennial; 90th Legislature cycle in development. Covers docks, cranes, rail, truck queuing, security, facility projects. Port Freeport CEO Phyllis Saathoff serves on PAAC."
Seaport Connectivity Program,,https://www.txdot.gov/business/grants-and-funding/seaport-connectivity-program.html,www.txdot.gov,seed_verified,TxDOT Maritime Division,,40000000,Yes — 25%,,,open,state,"port_road_connectivity, last-mile",Ports and entities for public roadway projects connecting to TX maritime ports,,0.9,4/26/26,Deadline/Cycle: Biennial; selected through PAAC via Port Mission Plan. $20M/year per biennium; 66 projects cumulative. SH-36/Hwy 288 access improvements are strong candidates.
Ship Channel Improvement Revolving Fund (SCIRF),,https://www.txdot.gov/business/grants-and-funding/ship-channel-improvement-revolving-fund-scirf.html,www.txdot.gov,seed_verified,TxDOT / Texas Transportation Commission,,,N/A — low-interest loan,,,open,state,"waterways, ship_channel, dredging",Navigation districts and port authorities as non-federal USACE project sponsors,,0.9,4/26/26,Deadline/Cycle: Rolling via Form 2060-SCIRF. $400M initial capitalization (2023); $200M additional FY2026. Low-interest state loan for USACE-authorized channel projects.
Off-System Rail Grade Separation State Fund,,https://www.txdot.gov/business/grants-and-funding/off-system-rail-grade-separation-state-fund-program.html,www.txdot.gov,seed_verified,TxDOT Rail Division,5000000,92800000,Yes — min 10% non-state local match,,,closed,state,"railway, rail_safety","Counties, cities, special districts. Port Freeport partners with Brazoria County.",,0.9,4/26/26,Deadline/Cycle: Competitive; first round closed Nov 2025; future rounds expected. $250M total program. Projects must be on off-system (non-TxDOT) roads. Port Freeport should partner with local gov.
State Infrastructure Bank (SIB),,https://www.txdot.gov/business/grants-and-funding/state-infrastructure-bank.html,www.txdot.gov,seed_verified,TxDOT Project Finance Division,,,N/A — loan at/below market rate,,,open,state,transportation_infrastructure,Any public or private entity for eligible transportation projects (Title 23/49 USC),,0.7,4/26/26,"Deadline/Cycle: Rolling <$10M; competitive Program Call for larger. 182 loans totaling $994M+ approved to date. Fixed rate for life of loan, no fees. Best for port access roadway improvements."
County Transportation Infrastructure Fund Grant,,https://www.txdot.gov/business/grants-and-funding/2020-county-transportation-infrastructure-fund-grant-program.html,www.txdot.gov,seed_verified,TxDOT,100000,5000000,Varies,,,open,state,"county_road, bridge_infrastructure",Texas counties — Brazoria County as applicant,,0.5,4/26/26,Deadline/Cycle: Annual. Oil/gas production tax revenue. Indirect benefit to Port Freeport via Brazoria County road improvements.
TERP — Port Authority Studies and Pilot Projects (PASPP),,https://www.tceq.texas.gov/airquality/terp/paspp,www.tceq.texas.gov,seed_verified,TCEQ,,1000000,No — typically 100% grant funded,,,open,state,"port_emissions, clean_technology_studies",Port authorities administering a public seaport in a nonattainment area. Port Freeport explicitly eligible.,,0.9,4/26/26,Deadline/Cycle: Projected opening November 2026; TCEQ contacts eligible port authorities directly. ONLY TERP program designed exclusively for port authorities. Funds air quality studies or pilot projects to reduce NOx/PM.
TERP — Seaport and Rail Yard Areas Emissions Reduction (SPRY),,https://www.tceq.texas.gov/airquality/terp/spry,www.tceq.texas.gov,seed_verified,TCEQ,,9200000,Yes — applicant covers at least 20%,,,open,state,"seaport_equipment_replacement, electrification",Entities operating equipment at designated seaports. Port of Freeport explicitly listed.,,0.9,4/26/26,"Deadline/Cycle: Projected opening August 2026 (first-come, first-served). Up to 80% of eligible costs. Covers drayage trucks, terminal tractors, cargo handling equipment, RTG cranes, forklifts. Equipment must operate 200+ days/yr at eligible seaport."
TERP — Emissions Reduction Incentive Grants (ERIG),,https://www.tceq.texas.gov/airquality/terp/erig.html,www.tceq.texas.gov,seed_verified,TCEQ,,20000000,Yes — applicant covers portion,,,open,state,"emissions_reduction_—_marine, locomotives, stationary",Entities in eligible counties including Brazoria County,,0.9,4/26/26,"Deadline/Cycle: Projected opening April 2026. Competitive, scored on cost-per-ton NOx reduced. Covers marine vessel repowers, tugboat engines, locomotive upgrades, stationary equipment (generators, compressors)."
TERP — Rebate Grants Program,,https://www.tceq.texas.gov/airquality/terp/rebate,www.tceq.texas.gov,seed_verified,TCEQ,,10000000,Yes — at least 20%,,,open,state,"heavy-duty_vehicle, equipment_replacement",Entities in eligible counties including Brazoria County,,0.9,4/26/26,Deadline/Cycle: Projected opening April 2026. Up to 80% of eligible costs. Covers on-road heavy-duty diesel vehicles and select non-road equipment. Electrification eligible. Can include onsite charging infrastructure.
